block_size_bits,arity_cap,codec_family,pass,seed_depth_bits,log2_seed_count,bits_before,bits_after,percent_raw,accepted_replacements,gain_p50,gain_p90,gain_p99,max_gain,superposed_retained,superposed_converted,shuffle_refresh,metadata_bits
24,16,ext1,3,32,32,323840,323825,112.4503,5.89,2,5,8,22,2648.4,1.062e-02,1.0,32
24,16,ext1,4,32,32,323822,323807,112.4497,5.89,2,5,8,22,2648.4,1.063e-02,1.0,48
24,16,ext1,5,32,32,323804,323789,112.4491,5.89,2,5,8,22,2648.4,1.063e-02,1.0,64
24,16,ext1,6,32,32,323786,323772,112.4485,5.90,2,5,8,22,2648.4,1.064e-02,1.0,80
24,16,ext1,7,32,32,323769,323754,112.4479,5.90,2,5,8,22,2648.4,1.064e-02,1.0,96
24,16,ext1,8,32,32,323751,323736,112.4473,5.90,2,5,8,22,2648.4,1.065e-02,1.0,112
24,16,ext1,1,128,128,288000,316902,110.0354,,,,,,,,1.0,0
24,16,ext1,2,128,128,316902,316901,110.0407,0.37,2,4,7,20,108.1,1.962e-04,1.0,16
24,16,ext1,3,128,128,316895,316894,110.0439,0.37,2,4,7,20,108.1,1.963e-04,1.0,32
24,16,ext1,4,128,128,316888,316888,110.0471,0.37,2,4,7,20,108.2,1.963e-04,1.0,48
24,16,ext1,5,128,128,316882,316881,110.0503,0.37,2,4,7,20,108.2,1.964e-04,1.0,64
24,16,ext1,6,128,128,316875,316874,110.0535,0.37,2,4,7,20,108.2,1.964e-04,1.0,80
24,16,ext1,7,128,128,316868,316867,110.0566,0.37,2,4,7,20,108.2,1.964e-04,1.0,96
24,16,ext1,8,128,128,316861,316860,110.0598,0.37,2,4,7,20,108.2,1.965e-04,1.0,112
24,16,ext1,1,1024,1024,288000,301500,104.6875,,,,,,,,1.0,0
24,16,ext1,2,1024,1024,301500,301500,104.6930,0.03,2,4,7,15,11.6,5.461e-06,1.0,16
24,16,ext1,3,1024,1024,301500,301500,104.6986,0.03,2,4,7,15,11.6,5.461e-06,1.0,32
24,16,ext1,4,1024,1024,301500,301500,104.7041,0.03,2,4,7,15,11.6,5.460e-06,1.0,48
24,16,ext1,5,1024,1024,301500,301500,104.7096,0.03,2,4,7,15,11.6,5.460e-06,1.0,64
24,16,ext1,6,1024,1024,301500,301500,104.7152,0.03,2,4,7,15,11.6,5.460e-06,1.0,80
24,16,ext1,7,1024,1024,301500,301500,104.7207,0.03,2,4,7,15,11.6,5.460e-06,1.0,96
24,16,ext1,8,1024,1024,301500,301500,104.7262,0.03,2,4,7,15,11.6,5.459e-06,1.0,112
24,16,ext1,1,24000,24000,288000,301500,104.6875,,,,,,,,1.0,0
24,16,ext1,2,24000,24000,301500,301500,104.6930,0.05,2,4,7,15,11.6,1.299e-05,1.0,16
24,16,ext1,3,24000,24000,301500,301500,104.6985,0.05,2,4,7,15,11.6,1.299e-05,1.0,32
24,16,ext1,4,24000,24000,301500,301500,104.7041,0.05,2,4,7,15,11.6,1.299e-05,1.0,48
24,16,ext1,5,24000,24000,301500,301500,104.7096,0.05,2,4,7,15,11.6,1.299e-05,1.0,64
24,16,ext1,6,24000,24000,301500,301500,104.7151,0.05,2,4,7,15,11.6,1.299e-05,1.0,80
24,16,ext1,7,24000,24000,301500,301499,104.7206,0.05,2,4,7,15,11.6,1.298e-05,1.0,96
24,16,ext1,8,24000,24000,301499,301499,104.7262,0.05,2,4,7,15,11.6,1.298e-05,1.0,112
24,64,ext1,1,16,16,288000,323860,112.4513,,,,,,,,1.0,0
24,64,ext1,2,16,16,323860,323845,112.4517,5.88,2,5,8,20,0.1,2.660e-05,1.0,16
24,64,ext1,3,16,16,323842,323827,112.4511,5.88,2,5,8,20,0.2,2.992e-05,1.0,32
24,64,ext1,4,16,16,323824,323810,112.4506,5.89,2,5,8,20,0.2,3.324e-05,1.0,48
24,64,ext1,5,16,16,323807,323792,112.4500,5.89,2,5,8,20,0.2,3.656e-05,1.0,64
24,64,ext1,6,16,16,323789,323774,112.4494,5.89,2,5,8,20,0.2,3.987e-05,1.0,80
24,64,ext1,7,16,16,323771,323756,112.4488,5.90,2,5,8,20,0.2,4.319e-05,1.0,96
24,64,ext1,8,16,16,323753,323739,112.4482,5.90,2,5,8,20,0.2,4.651e-05,1.0,112
24,64,ext1,1,32,32,288000,323857,112.4504,,,,,,,,1.0,0
24,64,ext1,2,32,32,323857,323843,112.4509,5.88,2,5,8,22,2648.4,1.062e-02,1.0,16
24,64,ext1,3,32,32,323840,323825,112.4503,5.89,2,5,8,22,2648.4,1.062e-02,1.0,32
24,64,ext1,4,32,32,323822,323807,112.4497,5.89,2,5,8,22,2648.4,1.063e-02,1.0,48
24,64,ext1,5,32,32,323804,323789,112.4491,5.89,2,5,8,22,2648.4,1.063e-02,1.0,64
24,64,ext1,6,32,32,323786,323772,112.4485,5.90,2,5,8,22,2648.4,1.064e-02,1.0,80
24,64,ext1,7,32,32,323769,323754,112.4479,5.90,2,5,8,22,2648.4,1.064e-02,1.0,96
24,64,ext1,8,32,32,323751,323736,112.4473,5.90,2,5,8,22,2648.4,1.065e-02,1.0,112
24,64,ext1,1,128,128,288000,316902,110.0354,,,,,,,,1.0,0
24,64,ext1,2,128,128,316902,316901,110.0407,0.37,2,4,7,20,108.1,1.962e-04,1.0,16
24,64,ext1,3,128,128,316895,316894,110.0439,0.37,2,4,7,20,108.1,1.963e-04,1.0,32
24,64,ext1,4,128,128,316888,316888,110.0471,0.37,2,4,7,20,108.2,1.963e-04,1.0,48
24,64,ext1,5,128,128,316882,316881,110.0503,0.37,2,4,7,20,108.2,1.964e-04,1.0,64
24,64,ext1,6,128,128,316875,316874,110.0535,0.37,2,4,7,20,108.2,1.964e-04,1.0,80
24,64,ext1,7,128,128,316868,316867,110.0566,0.37,2,4,7,20,108.2,1.964e-04,1.0,96
24,64,ext1,8,128,128,316861,316860,110.0598,0.37,2,4,7,20,108.2,1.965e-04,1.0,112
24,64,ext1,1,1024,1024,288000,293333,101.8519,,,,,,,,1.0,0
24,64,ext1,2,1024,1024,293333,293333,101.8574,0.00,2,4,7,12,1.9,1.964e-07,1.0,16
24,64,ext1,3,1024,1024,293333,293333,101.8630,0.00,2,4,7,12,1.9,1.964e-07,1.0,32
24,64,ext1,1,24000,24000,288000,292125,101.4323,,,,,,,,1.0,0
24,64,ext1,2,24000,24000,292125,292125,101.4378,0.00,2,4,7,11,0.7,2.025e-07,1.0,16
24,64,ext1,3,24000,24000,292125,292125,101.4434,0.00,2,4,7,11,0.7,2.025e-07,1.0,32
32,5,ext1,1,16,16,384000,419998,109.3745,,,,,,,,1.0,0
32,5,ext1,2,16,16,419998,419998,109.3786,0.02,9,13,16,25,0.0,4.084e-10,1.0,16
32,5,ext1,3,16,16,419998,419997,109.3827,0.02,9,13,16,25,0.0,4.599e-10,1.0,32
32,5,ext1,4,16,16,419997,419997,109.3868,0.02,9,13,16,25,0.0,5.114e-10,1.0,48
32,5,ext1,5,16,16,419997,419997,109.3909,0.02,9,13,16,25,0.0,5.631e-10,1.0,64
32,5,ext1,6,16,16,419997,419997,109.3950,0.02,9,13,16,25,0.0,6.149e-10,1.0,80
32,5,ext1,7,16,16,419997,419996,109.3991,0.02,9,13,16,25,0.0,6.667e-10,1.0,96
32,5,ext1,8,16,16,419996,419996,109.4032,0.02,9,13,16,25,0.0,7.187e-10,1.0,112
32,5,ext1,1,32,32,384000,419906,109.3506,,,,,,,,1.0,0
32,5,ext1,2,32,32,419906,419895,109.3517,5.86,2,4,7,25,1409.0,7.701e-03,1.0,16
32,5,ext1,3,32,32,419895,419883,109.3529,5.86,2,4,7,25,1409.6,7.702e-03,1.0,32
32,5,ext1,4,32,32,419883,419871,109.3540,5.86,2,4,7,25,1410.2,7.703e-03,1.0,48
32,5,ext1,5,32,32,419871,419860,109.3551,5.86,2,4,7,25,1410.8,7.704e-03,1.0,64
32,5,ext1,6,32,32,419860,419848,109.3562,5.86,2,4,7,25,1411.4,7.705e-03,1.0,80
32,5,ext1,7,32,32,419848,419836,109.3573,5.86,2,4,7,25,1412.1,7.706e-03,1.0,96
32,5,ext1,8,32,32,419836,419824,109.3584,5.86,2,4,7,25,1412.7,7.707e-03,1.0,112
32,5,ext1,1,128,128,384000,416288,108.4083,,,,,,,,1.0,0
32,5,ext1,2,128,128,416288,416280,108.4104,3.88,2,4,7,23,599.8,5.249e-03,1.0,16
32,5,ext1,3,128,128,416161,416153,108.3816,3.88,2,4,7,23,599.9,5.248e-03,1.0,32
32,5,ext1,4,128,128,416034,416026,108.3527,3.88,2,4,7,23,600.1,5.248e-03,1.0,48
32,5,ext1,5,128,128,415908,415900,108.3239,3.88,2,4,7,23,600.2,5.247e-03,1.0,64
32,5,ext1,6,128,128,415781,415773,108.2951,3.87,2,4,7,23,600.3,5.247e-03,1.0,80
32,5,ext1,7,128,128,415654,415647,108.2663,3.87,2,4,7,23,600.4,5.246e-03,1.0,96
32,5,ext1,8,128,128,415528,415520,108.2375,3.87,2,4,7,23,600.5,5.246e-03,1.0,112
32,5,ext1,1,1024,1024,384000,415313,108.1545,,,,,,,,1.0,0
32,5,ext1,2,1024,1024,415313,415312,108.1584,0.64,2,4,7,20,133.5,4.353e-04,1.0,16
32,5,ext1,3,1024,1024,415279,415277,108.1535,0.64,2,4,7,20,133.5,4.353e-04,1.0,32
32,5,ext1,4,1024,1024,415244,415242,108.1486,0.64,2,4,7,20,133.5,4.354e-04,1.0,48
32,5,ext1,5,1024,1024,415209,415208,108.1436,0.64,2,4,7,20,133.6,4.354e-04,1.0,64
32,5,ext1,6,1024,1024,415174,415173,108.1387,0.64,2,4,7,20,133.6,4.355e-04,1.0,80
32,5,ext1,7,1024,1024,415139,415138,108.1338,0.64,2,4,7,20,133.6,4.356e-04,1.0,96
32,5,ext1,8,1024,1024,415104,415103,108.1289,0.64,2,4,7,20,133.6,4.356e-04,1.0,112
32,5,ext1,1,24000,24000,384000,415313,108.1545,,,,,,,,1.0,0
32,5,ext1,2,24000,24000,415313,415312,108.1584,0.64,2,4,7,20,133.5,4.353e-04,1.0,16
32,5,ext1,3,24000,24000,415279,415277,108.1535,0.64,2,4,7,20,133.5,4.353e-04,1.0,32
32,5,ext1,4,24000,24000,415244,415242,108.1486,0.64,2,4,7,20,133.5,4.354e-04,1.0,48
32,5,ext1,5,24000,24000,415209,415208,108.1436,0.64,2,4,7,20,133.6,4.355e-04,1.0,64
32,5,ext1,6,24000,24000,415174,415173,108.1387,0.64,2,4,7,20,133.6,4.355e-04,1.0,80
32,5,ext1,7,24000,24000,415139,415138,108.1338,0.64,2,4,7,20,133.6,4.356e-04,1.0,96
32,5,ext1,8,24000,24000,415104,415103,108.1289,0.64,2,4,7,20,133.6,4.356e-04,1.0,112
32,16,ext1,1,16,16,384000,419998,109.3745,,,,,,,,1.0,0
32,16,ext1,2,16,16,419998,419998,109.3786,0.02,9,13,16,25,0.0,4.084e-10,1.0,16
32,16,ext1,3,16,16,419998,419997,109.3827,0.02,9,13,16,25,0.0,4.599e-10,1.0,32
32,16,ext1,4,16,16,419997,419997,109.3868,0.02,9,13,16,25,0.0,5.114e-10,1.0,48
32,16,ext1,5,16,16,419997,419997,109.3909,0.02,9,13,16,25,0.0,5.631e-10,1.0,64
32,16,ext1,6,16,16,419997,419997,109.3950,0.02,9,13,16,25,0.0,6.149e-10,1.0,80
32,16,ext1,7,16,16,419997,419996,109.3991,0.02,9,13,16,25,0.0,6.667e-10,1.0,96
32,16,ext1,8,16,16,419996,419996,109.4032,0.02,9,13,16,25,0.0,7.187e-10,1.0,112
32,16,ext1,1,32,32,384000,419906,109.3506,,,,,,,,1.0,0
32,16,ext1,2,32,32,419906,419895,109.3517,5.86,2,4,7,25,1409.0,7.701e-03,1.0,16
32,16,ext1,3,32,32,419895,419883,109.3529,5.86,2,4,7,25,1409.6,7.702e-03,1.0,32
32,16,ext1,4,32,32,419883,419871,109.3540,5.86,2,4,7,25,1410.2,7.703e-03,1.0,48
32,16,ext1,5,32,32,419871,419860,109.3551,5.86,2,4,7,25,1410.8,7.704e-03,1.0,64
32,16,ext1,6,32,32,419860,419848,109.3562,5.86,2,4,7,25,1411.4,7.705e-03,1.0,80
32,16,ext1,7,32,32,419848,419836,109.3573,5.86,2,4,7,25,1412.1,7.706e-03,1.0,96
32,16,ext1,8,32,32,419836,419824,109.3584,5.86,2,4,7,25,1412.7,7.707e-03,1.0,112
32,16,ext1,1,128,128,384000,416288,108.4083,,,,,,,,1.0,0
32,16,ext1,2,128,128,416288,416280,108.4104,3.88,2,4,7,23,599.8,5.249e-03,1.0,16
32,16,ext1,3,128,128,416161,416153,108.3816,3.88,2,4,7,23,599.9,5.248e-03,1.0,32
32,16,ext1,4,128,128,416034,416026,108.3527,3.88,2,4,7,23,600.1,5.248e-03,1.0,48
32,16,ext1,5,128,128,415908,415900,108.3239,3.88,2,4,7,23,600.2,5.247e-03,1.0,64
32,16,ext1,6,128,128,415781,415773,108.2951,3.87,2,4,7,23,600.3,5.247e-03,1.0,80
32,16,ext1,7,128,128,415654,415647,108.2663,3.87,2,4,7,23,600.4,5.246e-03,1.0,96
32,16,ext1,8,128,128,415528,415520,108.2375,3.87,2,4,7,23,600.5,5.246e-03,1.0,112
32,16,ext1,1,1024,1024,384000,397500,103.5156,,,,,,,,1.0,0
32,16,ext1,2,1024,1024,397500,397500,103.5198,0.01,2,5,8,14,5.8,6.872e-07,1.0,16
32,16,ext1,3,1024,1024,397500,397500,103.5239,0.01,2,5,8,14,5.8,6.872e-07,1.0,32
32,16,ext1,1,24000,24000,384000,397500,103.5156,,,,,,,,1.0,0
32,16,ext1,2,24000,24000,397500,397500,103.5198,0.03,2,4,8,15,5.8,4.155e-06,1.0,16
32,16,ext1,3,24000,24000,397500,397500,103.5239,0.03,2,4,8,15,5.8,4.155e-06,1.0,32
32,16,ext1,4,24000,24000,397500,397500,103.5281,0.03,2,4,8,15,5.8,4.154e-06,1.0,48
32,16,ext1,5,24000,24000,397500,397500,103.5322,0.03,2,4,8,15,5.8,4.154e-06,1.0,64
32,16,ext1,6,24000,24000,397500,397500,103.5364,0.03,2,4,8,15,5.8,4.153e-06,1.0,80
32,16,ext1,7,24000,24000,397500,397500,103.5405,0.03,2,4,8,15,5.8,4.153e-06,1.0,96
32,16,ext1,8,24000,24000,397500,397500,103.5447,0.03,2,4,8,15,5.8,4.152e-06,1.0,112
32,64,ext1,1,16,16,384000,419998,109.3745,,,,,,,,1.0,0
32,64,ext1,2,16,16,419998,419998,109.3786,0.02,9,13,16,25,0.0,4.084e-10,1.0,16
32,64,ext1,3,16,16,419998,419997,109.3827,0.02,9,13,16,25,0.0,4.599e-10,1.0,32
32,64,ext1,4,16,16,419997,419997,109.3868,0.02,9,13,16,25,0.0,5.114e-10,1.0,48
32,64,ext1,5,16,16,419997,419997,109.3909,0.02,9,13,16,25,0.0,5.631e-10,1.0,64
32,64,ext1,6,16,16,419997,419997,109.3950,0.02,9,13,16,25,0.0,6.149e-10,1.0,80
32,64,ext1,7,16,16,419997,419996,109.3991,0.02,9,13,16,25,0.0,6.667e-10,1.0,96
32,64,ext1,8,16,16,419996,419996,109.4032,0.02,9,13,16,25,0.0,7.187e-10,1.0,112
32,64,ext1,1,32,32,384000,419906,109.3506,,,,,,,,1.0,0
32,64,ext1,2,32,32,419906,419895,109.3517,5.86,2,4,7,25,1409.0,7.701e-03,1.0,16
32,64,ext1,3,32,32,419895,419883,109.3529,5.86,2,4,7,25,1409.6,7.702e-03,1.0,32
32,64,ext1,4,32,32,419883,419871,109.3540,5.86,2,4,7,25,1410.2,7.703e-03,1.0,48
32,64,ext1,5,32,32,419871,419860,109.3551,5.86,2,4,7,25,1410.8,7.704e-03,1.0,64
32,64,ext1,6,32,32,419860,419848,109.3562,5.86,2,4,7,25,1411.4,7.705e-03,1.0,80
32,64,ext1,7,32,32,419848,419836,109.3573,5.86,2,4,7,25,1412.1,7.706e-03,1.0,96
32,64,ext1,8,32,32,419836,419824,109.3584,5.86,2,4,7,25,1412.7,7.707e-03,1.0,112
32,64,ext1,1,128,128,384000,416288,108.4083,,,,,,,,1.0,0
32,64,ext1,2,128,128,416288,416280,108.4104,3.88,2,4,7,23,599.8,5.249e-03,1.0,16
32,64,ext1,3,128,128,416161,416153,108.3816,3.88,2,4,7,23,599.9,5.248e-03,1.0,32
32,64,ext1,4,128,128,416034,416026,108.3527,3.88,2,4,7,23,600.1,5.248e-03,1.0,48
32,64,ext1,5,128,128,415908,415900,108.3239,3.88,2,4,7,23,600.2,5.247e-03,1.0,64
32,64,ext1,6,128,128,415781,415773,108.2951,3.87,2,4,7,23,600.3,5.247e-03,1.0,80
32,64,ext1,7,128,128,415654,415647,108.2663,3.87,2,4,7,23,600.4,5.246e-03,1.0,96
32,64,ext1,8,128,128,415528,415520,108.2375,3.87,2,4,7,23,600.5,5.246e-03,1.0,112
32,64,ext1,1,1024,1024,384000,391129,101.8565,,,,,,,,1.0,0
32,64,ext1,2,1024,1024,391129,391129,101.8607,0.00,3,7,10,12,0.1,8.941e-10,1.0,16
32,64,ext1,3,1024,1024,391129,391129,101.8649,0.00,3,7,10,12,0.1,8.941e-10,1.0,32
32,64,ext1,1,24000,24000,384000,388125,101.0742,,,,,,,,1.0,0
32,64,ext1,2,24000,24000,388125,388125,101.0784,0.00,2,4,8,11,0.4,5.571e-08,1.0,16
32,64,ext1,3,24000,24000,388125,388125,101.0826,0.00,2,4,8,11,0.4,5.571e-08,1.0,32
